n_points,HI_percent,SA_dyne_s_cm2,mean_inlet_velocity
83,1.2221114826366028e-05,1.014275006639865,0.136913523
84,1.2312244505149666e-05,1.0232160115475655,0.136617824
116,1.6788603445378484e-05,1.5794302908469746,0.136440918
115,1.628577450016707e-05,1.5875649096731292,0.132541358
114,1.623846525730974e-05,1.590313843782741,0.132235512
113,1.6019070818191396e-05,1.5790974515560803,0.131930172
115,1.5973806907287706e-05,1.5836937261149107,0.131760389
111,1.5891006501264385e-05,1.583073282224922,0.131627724
110,1.5670390342749017e-05,1.56619525709146,0.131504029
114,1.5844807208100976e-05,1.5943747649382074,0.131289274
109,1.562804389042534e-05,1.5892462233235187,0.131113023
112,1.573522193993317e-05,1.590953219467987,0.13121435
107,1.5335512857127115e-05,1.5631456503229848,0.131074354
78,1.1456240003095644e-05,1.0456555348677168,0.131090552
111,1.540252887502273e-05,1.5719329302864633,0.130966946
107,1.5497351225030516e-05,1.5779813329380474,0.130966946
111,1.5610658740698987e-05,1.5826643863254841,0.131074384
113,1.6577556824945125e-05,1.5893641795983384,0.133833796
114,1.648755585700074e-05,1.581653195705565,0.133500561
114,1.6698335608268723e-05,1.5844777334186892,0.134480327
115,1.6663929725629176e-05,1.5823190164050116,0.134144679
114,1.651739555215168e-05,1.5910380375827382,0.13287203
110,1.6381512405325565e-05,1.5845566005355765,0.13317959
110,1.5748990818014107e-05,1.574326670234458,0.131503969
108,1.538071598049118e-05,1.5708211910121215,0.131074309
112,1.558991168109654e-05,1.5793777856385869,0.131214246
108,1.5802311843526115e-05,1.5859724653029712,0.131289199
112,1.623773685114205e-05,1.5897117780533703,0.132393777
81,1.2135433607776822e-05,1.0447657820338874,0.132700354
79,1.1787008951889008e-05,1.0475147469399955,0.131760269
114,1.566553702711521e-05,1.56682346556009,0.131503969
80,1.1908380608993763e-05,1.054005690724194,0.131906658
110,1.6080465574547118e-05,1.5797848773639795,0.132064924
115,1.6482270628776722e-05,1.58863402483181,0.132871523
113,1.630141225599332e-05,1.5611948089717569,0.133195952
85,1.2275328337324714e-05,1.0354634020219433,0.133684516
113,1.6522673607554673e-05,1.5827129311555848,0.133512005
113,1.6490205271095494e-05,1.5642472374030814,0.134006709
112,1.684603331943744e-05,1.594565266387677,0.134317845
115,1.6842051352888453e-05,1.5876093937992755,0.134653911
83,1.2369694112608399e-05,1.0277651389331874,0.135619998
83,1.2319904334800761e-05,1.02284183167615,0.136453301
86,1.2327002845647162e-05,1.0233720955413752,0.136280924
80,1.2303540991042282e-05,1.019315629091021,0.135959983
85,1.2363959878807855e-05,1.027124116382689,0.135315567
82,1.2372055651918566e-05,1.0280761279867823,0.135141939
83,1.242027592864953e-05,1.0355060494075101,0.1348093
117,1.6835965033976765e-05,1.5838522134338864,0.136123702
81,1.2374392425097506e-05,1.0257622838568545,0.135947317
80,1.2384452985382682e-05,1.0237870168550445,0.136452839
112,1.6821813381272055e-05,1.5845168306159736,0.13496682
80,1.2410259294113554e-05,1.0325586183783926,0.135280713
84,1.2352859518428288e-05,1.0289114274783622,0.135456085
113,1.66766660805126e-05,1.5716974152212355,0.135771185
82,1.227255657374624e-05,1.0166261497171296,0.136605754
118,1.6657863929847637e-05,1.5720650205240305,0.136782885
83,1.2274754983914273e-05,1.0162368671962654,0.13710165
83,1.2262065290485977e-05,1.0139302707816211,0.13710165
82,1.2376804269373597e-05,1.0258624507690353,0.137267411
82,1.2296193391940088e-05,1.0197108417059857,0.137114167
84,1.2200479392590227e-05,1.009799968558744,0.136940911
116,1.6640127154953748e-05,1.569779633251403,0.136783332
110,1.6252967814296897e-05,1.5803713604823924,0.132553205
113,1.6255382432054885e-05,1.593976745944925,0.132246956
116,1.5897709682187745e-05,1.572503889649623,0.13205491
111,1.6018202480792287e-05,1.585848439058949,0.131744996
109,1.584448295052786e-05,1.5777212436665082,0.131504044
110,1.590829156204954e-05,1.592344787541456,0.131396607
108,1.5587080551718434e-05,1.5808958242693563,0.131181777
106,1.545362349442038e-05,1.5742878434582799,0.130999461
113,1.5472290540706457e-05,1.5841759012194698,0.130892038
109,1.5258983038466098e-05,1.5679053879415714,0.130859673
108,1.528821508075605e-05,1.5771060927191747,0.130784735
110,1.5313520245814904e-05,1.5711100361161594,0.130859599
108,1.5175047578461624e-05,1.5730414122039167,0.130677328
109,1.533758115289188e-05,1.5725514448775468,0.130875871
82,1.2250048212961504e-05,1.0393395991279186,0.133845896
84,1.224402895223385e-05,1.038660487059609,0.133668169
116,1.6584674923565443e-05,1.588683023579581,0.133351699
84,1.2437023784001993e-05,1.0397556611163143,0.134502396
81,1.2470892360827343e-05,1.0415781214725932,0.134313405
83,1.2140668454444904e-05,1.0430559260245404,0.132859915
81,1.2124091780105903e-05,1.0403592561148753,0.133186743
108,1.5907142233642445e-05,1.5926131478610375,0.131305426
112,1.5495176638039895e-05,1.588032989820278,0.130966932
109,1.5443759103480884e-05,1.5737527180984787,0.131074294
110,1.5599708212080954e-05,1.579753411214767,0.131090537
111,1.6344117342723372e-05,1.5957943546883675,0.132382214
113,1.6534305366399415e-05,1.6048526747670997,0.13254118
109,1.5828672581397374e-05,1.578293115147129,0.131503984
110,1.5921850963909752e-05,1.577253754565373,0.131627589
111,1.5666640319981817e-05,1.5834217858685942,0.131289184
81,1.1798134504940642e-05,1.034690992888261,0.132064953
111,1.6036192389000036e-05,1.5899007993435077,0.131744921
