n_points,HI2_percent,HI3_percent,HI_percent,SA_dyne_s_cm2,mean_inlet_velocity
75,1.267457250002649e-07,1.7582896767423345e-07,1.267457250002649e-07,0.8801398774740089,0.128197372
77,1.2429044989663834e-07,1.7403842261987976e-07,1.2429044989663834e-07,0.872858631869956,0.128081083
74,1.1448236192285427e-07,1.608898183158259e-07,1.1448236192285427e-07,0.8378759749285914,0.127951473
79,1.2477791333703577e-07,1.7440809391279688e-07,1.2477791333703577e-07,0.8743156823655593,0.12810643
74,1.2455581970376767e-07,1.7464115442091752e-07,1.2455581970376767e-07,0.8731675754879903,0.128081113
76,1.1620899642043281e-07,1.6369659537222482e-07,1.1620899642043281e-07,0.8454535339384501,0.127951473
75,1.1148001737300927e-07,1.5740667328521228e-07,1.1148001737300927e-07,0.8305224011168849,0.127858922
73,1.0809774300423996e-07,1.564629382683074e-07,1.0809774300423996e-07,0.8119854286193605,0.12772949
76,1.1353090475816377e-07,1.6072647192812406e-07,1.1353090475816377e-07,0.8360191867494153,0.127877429
75,1.1110853415474593e-07,1.5703905387402128e-07,1.1110853415474593e-07,0.8282454444894913,0.127858922
73,1.0857888746274352e-07,1.5664104084184717e-07,1.0857888746274352e-07,0.8168487431509975,0.127729475
74,1.0183531883687914e-07,1.4670980789439277e-07,1.0183531883687914e-07,0.7951899549361827,0.127618611
71,9.628748051242531e-08,1.3981006979360705e-07,9.628748051242531e-08,0.7729993122622588,0.127663419
72,1.04193219664377e-07,1.4980056341208188e-07,1.04193219664377e-07,0.8039283261962734,0.127655536
72,1.0258098421556084e-07,1.4831099696255503e-07,1.0258098421556084e-07,0.7977429838704744,0.127615124
73,9.999572240637586e-08,1.4517308657574708e-07,9.999572240637586e-08,0.7889680874408549,0.127641767
71,9.597846979600256e-08,1.4077126364143059e-07,9.597846979600256e-08,0.7720600319836527,0.127706721
74,8.968556309398297e-08,1.333790213576734e-07,8.968556309398297e-08,0.7434770163856342,0.127784744
71,9.817033362286716e-08,1.4442530567593692e-07,9.817033362286716e-08,0.780421524960235,0.127691865
71,9.547441940801861e-08,1.3972105742437233e-07,9.547441940801861e-08,0.7714117594136596,0.127706721
74,8.96812246197594e-08,1.3303710578768268e-07,8.96812246197594e-08,0.7463268718699131,0.127784744
73,8.82431788166878e-08,1.3189167981478614e-07,8.82431788166878e-08,0.7401235212690588,0.127842173
73,8.30016729720548e-08,1.2519461482931178e-07,8.30016729720548e-08,0.7171888840416348,0.127924904
72,8.688505756248334e-08,1.2902727376846478e-07,8.688505756248334e-08,0.7383485426707271,0.12783058
73,8.777216305983312e-08,1.3124337158857313e-07,8.777216305983312e-08,0.7376584263172472,0.127842173
74,8.510179035122971e-08,1.2843308933455679e-07,8.510179035122971e-08,0.7274876245703148,0.127924904
72,8.045626505880762e-08,1.2169742745648326e-07,8.045626505880762e-08,0.7085069325143551,0.127858579
72,7.668201354589605e-08,1.1799709468024755e-07,7.668201354589605e-08,0.6857226017273651,0.127619252
73,8.065192202420338e-08,1.216511265281654e-07,8.065192202420338e-08,0.7100622524679895,0.127927035
74,8.022064537074142e-08,1.2174227230675178e-07,8.022064537074142e-08,0.7067116066529582,0.127852142
73,7.939060915159182e-08,1.2209615254396557e-07,7.939060915159182e-08,0.6968878096762114,0.12768659
74,7.488633402021413e-08,1.1515466646706766e-07,7.488633402021413e-08,0.680618535515018,0.127482474
71,7.082703167843841e-08,1.1031573077870721e-07,7.082703167843841e-08,0.6557351509193685,0.127243102
75,7.549521538068866e-08,1.1583060087438414e-07,7.549521538068866e-08,0.6843215716372756,0.127529114
73,7.485047051125945e-08,1.1507873879622361e-07,7.485047051125945e-08,0.6802275819790503,0.127482489
72,7.156027638082306e-08,1.1126301529208134e-07,7.156027638082306e-08,0.6610532346072145,0.127243131
72,6.951487216153475e-08,1.0893650162292624e-07,6.951487216153475e-08,0.6475748025278978,0.127072141
70,6.786910978368694e-08,1.0772142582464517e-07,6.786910978368694e-08,0.6332228195149393,0.126843661
70,7.024498166895556e-08,1.0986051519297152e-07,7.024498166895556e-08,0.6530948783466948,0.127106383
72,6.947842067532577e-08,1.088511486968593e-07,6.947842067532577e-08,0.64778461579948,0.12707217
70,6.883530909249288e-08,1.0898743101455135e-07,6.883530909249288e-08,0.6403548198166185,0.126843691
72,6.70210782726679e-08,1.0774859199889885e-07,6.70210782726679e-08,0.6248055534438491,0.126704141
69,6.347467104903593e-08,1.02012845066483e-07,6.347467104903593e-08,0.6071630654562593,0.126541898
74,6.63476687612551e-08,1.0578546653288635e-07,6.63476687612551e-08,0.6244927172043067,0.126750663
74,6.5848862827086e-08,1.0545977123091837e-07,6.5848862827086e-08,0.6206981072319699,0.126699805
73,6.402364485800176e-08,1.0248671824965209e-07,6.402364485800176e-08,0.6114429163876176,0.126634568
67,6.2586426542044e-08,1.0166719950489305e-07,6.2586426542044e-08,0.5987311164602009,0.126449451
68,5.907939197262556e-08,9.664820987803844e-08,5.907939197262556e-08,0.575612041597329,0.126288071
69,6.236870635355481e-08,1.0107655390764483e-07,6.236870635355481e-08,0.5987594220737246,0.126480997
